Año;Localidad;Descripción;Categoría;Fuente;Pag;
1881;Bustinza;"Funcionamiento del Molino de Piedra: Hito: Constatación de la operatividad del ""Molino de los Ángeles"" (también llamado tahona). Cita: ""Lo que sí se puede afirmar es que en 1881 todavía funcionaba, según nos aclara el informe del Inspector Agustín Aragón""";Huellas de la energía;Bustinza y su historia;71;
1882;Salto Grande;"""El primer cultivo del que se tenga memoria lo practicó Lorenzo Rovetto quien en el año 1882 sembró trigo, utilizando un arado mancera de una reja, tirado por bueyes... realiza las primeras siegas como en la época del neolítico, a golpes de hoz. Conducían lo cosechado en un cuero de caballo arrastrado por un buey... Allí realizaban la trilla, por medio de caballos que pisoteaban el grano en el suelo duro.""";Huellas del trabajo;Centenario de Salto Grande;23;
1882;Bustinza;"Capacidad del Molino a Tracción Animal: Hito: Informe técnico sobre el rendimiento del molino a mula en Bustinza. Cita: ""...en 1882 seguía funcionando de acuerdo a otro informe oficial, esta vez del Ingeniero Tomás Larguía, en donde se puede leer que Bustinza 'tiene un molino a mula, que ocupa 4 hombres y elabora 34 quintales en 24 horas'""";Huellas de la energía;Bustinza y su historia;71;
1884;Correa;"Creación de la primera Escuela Fiscal:
Hito: Inicio oficial de las actividades educativas en el pueblo.";Huellas de la infraestructura y las  instituciones;Correa, nuestro pueblo;29;
1885;Cañada de Gómez;"Organización del trazado urbano y arreglo de calles.
Cita: ""...una Comisión de Progreso Local de Cañada de Gómez (...) se constituyó con la presencia del jefe político, coronel Eugenio Oroño, el 14 de abril de 1885 (...) Las primeras preocupaciones de la misma estuvieron dirigidas a resolver temas de 'salubridad y obras que requiere la localidad', arreglo y limpieza de calles, delineación de terrenos para edificar, construcción de veredas y cercos""";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;348;
1887;Totoras;"Fundación de la Sociedad Italiana:
Hito: Creación de la Sociedad Italiana de Socorros Mutuos ""Unione y Benevolenza"" de Totoras.";Huellas de la identidad y la celebración;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);202;
1887;Totoras;"Proyecto de Tranway a vapor y sangre: Se buscaba unir las colonias con el puerto mediante un sistema mixto de tracción.
Hito: ""El 4 de setiembre de 1887 el gobierno provincial autoriza a los señores Marcos Bustamante y Cía. para construir y explotar una vía de tranway, a sangre y vapor que partiendo del puerto de San Martín prosiguiera por los caminos reales... llegando a la estación Serodino y las colonias Santa Teresa, Larguía y San Genaro...""";Huellas del transporte y las comunicaciones;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);179;
1888;Cañada de Gómez;"Reparación de caminos rurales específicos.
Cita: ""En 1888 la Comuna contrató la reparación del camino que dividía las propiedades de Dickinson y Videla, al noroeste del pueblo""";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;358;
1890;Correa;"Celebraciones del Carnaval:
Hito: Festejos populares con murgas y disfraces en las calles del pueblo.";Huellas de la identidad y la celebración;Correa, nuestro pueblo;11;
1893;Correa;"Máquinas trilladoras a vapor:
Hito: Uso intensivo de maquinaria agrícola a vapor y accidentes por explosión de calderas.";Huellas de la energía;Correa, nuestro pueblo;18;
1893;Correa;"Conflicto fiscal: El ""Impuesto al cereal"": Primera gran protesta de los productores locales contra la presión impositiva.";Huellas del trabajo;Correa, nuestro pueblo;19;
1894;Salto Grande;"Adquisición de Trilladoras a Vapor: Incorporación de maquinaria pesada importada.
Cita: ""En el año 1894, Domingo y Antonio Rasetto adquirieron su primera trilladora. Se trataba de enormes máquinas movidas a vapor que utilizaban paja como combustible. Para transportarlas se necesitaban hasta 70 bueyes; y de 20 a 35 hombres eran requeridos para manejarlas.""";Huellas de la energía;Centenario de Salto Grande;24;
1894;Salto Grande;"""El 9 de agosto de 1894 comenzó a funcionar la primera escuela fiscal, dirigida por el señor Carmelo Zapata.""";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;31, 90;
1896;Correa;1896 - Protección de la producción: Lucha contra la langosta: Organización comunitaria ante plagas que amenazaban el trabajo agrícola.;Huellas del trabajo;Correa, nuestro pueblo;23;
1899;Cañada de Gómez;"Colocación de la piedra fundamental del Colegio San Antonio de Padua.
Cita: ""...las Hermanas de San Antonio de Padua lograron concluir el edificio de su colegio, cuya piedra fundamental se había colocado en junio de 1899""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;104;
1900;Cañada de Gómez;"Celebración del Carnaval.
Cita: ""...en la noche del último domingo de carnaval de 1900..."".
";Huellas de la identidad y la celebración;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;29;
1902;Correa;"Inauguración de la Iglesia:
Hito: Consagración del templo parroquial con festejos populares y un bazar a beneficio.
Cita: ""Amaneció por fin el 9 de noviembre entre un estrépito de bombas. Todo el pueblo estaba profusamente embanderado... A las 14,30 hs. llegó el tren especial trayendo más de cien personas... se dirigieron al sitio de la ceremonia... actuando como padrinos los Sres. Octavio Grandoli, Luis Lamas, José Correa y Rudecindo Freyre...""";Huellas de la infraestructura y las  instituciones;Correa, nuestro pueblo;26 y 46;
1902;Totoras;"Fundación de la Sociedad Española:
Hito: Nacimiento de la segunda gran institución de base étnica del pueblo.";Huellas de la identidad y la celebración;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);202;
1903;Totoras;"Alumbrado a Kerosene: Primera infraestructura de iluminación urbana.
Hito: ""En la sesión del 15 de agosto de 1903... se decidió establecer el servicio de alumbrado público... Ese primer alumbrado era a kerosene y su mantenimiento fue solventado con el cobro de un impuesto";Huellas de la energía;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);90;
1904;Totoras;"El 17 de agosto de 1904 se aprueban los estatutos de otra institución con sede en Santa Teresa... la Sociedad Rural de Santa Teresa (Totoras).""";Huellas de la infraestructura y las  instituciones;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);173;
1905;Cañada de Gómez;"Constitución de la sociedad escolar suiza y alemana, que llegó a poseer edificio propio.
Cita: ""...suizos y alemanes de Cañada de Gómez habían constituido, el 25 de julio de 1905, una sociedad escolar a la que denominaron Deutches Schulvereins, que llegó a tener edificio propio...""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;103;
1906;Correa;"Fundación de la Sociedad Italiana de Socorros Mutuos:
Hito: Creación de la primera institución social y prestadora de servicios del pueblo, precursora de la actividad de clubes.";Huellas de la infraestructura y las  instituciones;Correa, nuestro pueblo;79;
1906;Correa;Previsión social para el trabajador: Fundación de la Sociedad Italiana para proteger a los socios ante contingencias laborales.;Huellas del trabajo;Correa, nuestro pueblo;80;
1907;Correa;"Los ""Buenos Carnavales"":
Hito: Edición histórica del carnaval con un corso de más de 50 carruajes.
Cita: ""Sucedió un luminoso domingo del mes de febrero del año 1907... detras seguía una imponente caravana de más de 50 carruajes adornados con todo gusto y en el que exhibían gracias y donaire la juventud de correa...""";Huellas de la identidad y la celebración;Correa, nuestro pueblo;102, 103;
1907;Salto Grande;"Inauguración del Templo Parroquial:
Hito: Apertura de la Parroquia Natividad de la Santísima Virgen.";Huellas de la identidad y la celebración;Centenario de Salto Grande;83;
1907;Totoras;"Impuesto a los motores a vapor (Trilladoras y Desgranadoras): El uso de estas máquinas era tan intenso que dañaba la infraestructura vial, lo que llevó a proponer gravámenes específicos.
Hito: ""En agosto de 1907... los Comisionados comunales... reclamaban al gobierno provincial... la creación de un nuevo impuesto comunal: '...siendo notorio el perjuicio y destrucción que producen en los caminos los motores a vapor de máquinas trilladoras y desgranadoras... se resuelve: dirigir al superior gobierno solicitud proponiendo la creación de un impuesto de $ 20 anuales en los motores a vapor de máquinas trilladoras y desgranadoras...'""";Huellas de la energía;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);79;
1907;Totoras;"Producción Harinera Industrial - Molino «La Estrella de Roma»:
Hito: ""Los agricultores no sólo encontraron en Santa Teresa un centro financiero... también disponían de un establecimiento donde elaborar su producción: el molino harinero «La Estrella de Roma» del señor Marcos Borgatta, capaz de producir diariamente 100 bolsas de 90 kilos de harina""";Huellas del trabajo;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);171;
1908;Cañada de Gómez;Apertura de la Escuela Sarmiento e inicio de labor de la Escuela Elemental N° 491;Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;18 y 109;
1908;Cañada de Gómez;"Incendio y lucha de la firma Mau, Buchmann y Cía.
Cita: ""El día 24 del mes pasado se ha producido en el pueblo C. de Gómez en la casa de negocio de los Sres. Mau, Buchmann y Cía. un gran incendio... años de verdadera lucha para los señores Mau Buchmann y á abatir en ellos igual tiempo de legítimas esperanzas; pués los señores citados habían empezado á trabajar...""";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;16 y 17;
1908;Correa;"Inauguración de la Sociedad Italiana:
Hito: Apertura de la primera sede social propia del pueblo.";Huellas de la infraestructura y las  instituciones;Correa, nuestro pueblo;42, 82;
1908;Totoras;"Transición a Acetileno o Carburo: Intento de modernización del alumbrado. Hito: ""...el 9 de agosto de 1908 se llamó a licitación para construir un nuevo alumbrado a kerosene, acetileno o carburo. Meses más tarde se solicita autorización al gobierno provincial para contraer un empréstito público de $ 1.500 destinado a la renovación del alumbrado público""";Huellas de la energía;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);90;
1909;Cañada de Gómez;A inicios del siglo XX el pueblo tenía un aspecto agreste donde «Faroles a kerosene alumbraban las calles sombreadas... todas las tardes con su escalera el farolero orgulloso encendía» En 1909 Durante la gestión de Servando Martínez se destaca «la colocación de «lámparas sistema alcohol» en 1909»;Huellas de la energía;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;12-13 y 36-37;
1909;Correa;"Establecimiento de la Estafeta Postal: Ante el desarrollo del pueblo, se gestionó y concretó la creación de una estafeta para el servicio de correspondencia.
Cita: ""Por esos mismos días se inicia un movimiento de opinión para gestionar ante la Dirección de Correos y Telégrafos el establecimiento de una estafeta postal, por así exigirlo ya el desarrollo alcanzado por el pueblo. Algunos meses más tarde se concretaba la feliz iniciativa.""";Huellas del transporte y las comunicaciones;Correa, nuestro pueblo;85;
1909;Correa;"Pico de demanda laboral en cosecha: La magnitud de la actividad productiva alcanza niveles récord de contratación.
Hito: Empleo masivo de más de 500 personas para la cosecha de maíz.";Huellas del trabajo;Correa, nuestro pueblo;85;
1909;Lucio V. López;"""El primer servicio eléctrico se inauguró el 25 de mayo de 1909, cuando se instaló el alumbrado en la casa de Doña Gregoria Córdoba de Blotta en Lucio V. López. Se utilizó un pequeño dínamo de 2 Kw. y 110 volts, impulsado por las turbinas hidráulicas del molino harinero.""";Huellas de la energía;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;132;
1910;Cañada de Gómez;Ensanche de Calles: Se menciona el «ensanche de calle Vieytes en 1910, que pudo ser convertida en boulevard Centenario» gracias a un error de medición de terrenos;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;12-13;
1910;Correa;"Primer Alumbrado Público (Sistema ""Auto-luz""):
Hito: Instalación de las primeras nueve columnas de alumbrado público en el centro del pueblo.";Huellas de la energía;Correa, nuestro pueblo;88, 89 ;
1910;Departamental;"xtensión de la red eléctrica a Totoras:
Hito: Creación de la empresa comercial y tendido de redes de media tensión.
Cita: ""Ese mismo año, 1910, se constituye la empresa comercial que extendió la distribución de energía eléctrica a Salto Grande, y en años sucesivos a Totoras, Serodino y Clarke, mediante una red trifásica de 4300 Volts...""";Huellas de la energía;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);132;
1910;Salto Grande;"Centro Recreativo ""Unión y Armonía"":
Hito: Primera referencia institucional a un centro de recreación.";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;79, 80;
1910;Totoras;"Llegada de la Energía Eléctrica: Salto tecnológico definitivo para el pueblo. Hito: ""La iniciativa no se concretó porque al año siguiente llegó la energía eléctrica a Totoras. El 4 de febrero de 1910 la Comisión de Fomento arribó a un acuerdo con don Pedro Rozie... Las instalaciones se inauguraron a comienzos de 1911...""";Huellas de la energía;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);90;
1910;Bustinza;Fundación del Club Atlético Bustinza: Hito: Creación del primer club de la localidad.;Huellas de la infraestructura y las  instituciones;Bustinza y su historia;29;
1910;Bustinza;"Primeras Romerías Populares: Celebraciones de la colectividad hispana.
Hito: Realización de festejos tradicionales españoles.";Huellas de la identidad y la celebración;Bustinza y su historia;40;
1911;Cañada de Gómez;Primeras Obras de Agua: Se inició la tarea de «perforar pozos, instalar tanques y tomas de agua y dotar a la Comuna de los primeros carros regadores»;Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;36-37;
1911;Cañada de Gómez;Inauguración del servicio telefónico. Durante la gestión de José Razetto, se concretó la llegada de este servicio.;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;37;
1911;Cañada de Gómez;"Inauguración del Teatro Sociedad Española.
Cita: ""...concibieron el proyecto de levantar el Teatro Sociedad Española, inaugurado el 30 de septiembre de 1911 con un «Vermouth de Honor para toda la concurrencia»""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;270;
1911;Correa;"Creación de la Oficina de Correos y Telégrafos local: La antigua estafeta resultó insuficiente y se logró elevar su categoría a oficina, con la llegada del primer jefe en julio de ese año.
Cita: ""También este año nos ofrece una novedad interesante al par que un nuevo jalón de progreso... Ya hemos visto cómo se instaló la primera Estación postal, en 1909. Ente servicio fundamental e imprescindible en la vida de todo pueblo organizado resultó insuficiente... El 20 de mayo se realiza una reunión de vecinos importantes... se dirigen a las autoridades respectivas con un extenso memorial fundamentando el pedido. El trámite tiene resolución favorable y al mes siguiente llega la comunicación... lo que tiene lugar a principios de julio con la llegada del primer Jefe.""";Huellas del transporte y las comunicaciones;Correa, nuestro pueblo;90, 91;
1911;Totoras;"Creación de la Oficina de Correos y Telecomunicaciones: En este año se formaliza la oficina que reemplaza a la antigua estafeta postal. Cita: ""Desde fines de la etapa anterior, año 1911, la localidad contaba con una oficina de Correos y Telecomunicaciones, que reemplazó a la modesta estafeta postal que funcionaba desde los primeros años de vida del pueblo"". ""El Correo se inauguró el 26 de abril de 1911 en un edificio de la calle Moreno al 939.
";Huellas del transporte y las comunicaciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);54 - 159;
1911;Totoras;"Funcionamiento del Colegio San José:
Hito: Inicio de la educación privada religiosa por parte de las Hermanas Franciscanas de Calais.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);225, 227;
1912;Cañada de Gómez;Inauguración del Servicio Eléctrico: Un hito fundamental fue «dotar al pueblo de servicio eléctrico, inaugurado el 15 de marzo de 1912». La primera usina contaba con «generadores de corriente continua Siemens Schuckert de 130 kw y 2 x 235 voltios» que alimentaban una red de arcos voltaicos;Huellas de la energía;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;36-37;
1912;Cañada de Gómez;"Primera gran huelga ferroviaria.
Cita: ""...el 6 de enero siguiente estalló la primera gran huelga ferroviaria del país, que duró cincuenta y seis días; y que era evidente que en La Fraternidad «las resoluciones las toman las asambleas de socios, o sea sus bases y no sus dirigentes»"".";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;139;
1912;Cañada de Gómez;"Adhesión al ""Grito de Alcorta"" (Huelga Agraria).
Cita: ""...los agricultores de su pueblo declararon la huelga el 25 de junio de 1912. El comerciante Ángel Bujarrabal y varios campesinos... se pusieron al frente de la protesta campesina..."".";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;144;
1912;Correa;"El gran conflicto laboral: La Huelga de Agricultores: Repercusión local del ""Grito de Alcorta"".
Hito: Los colonos arrendatarios se declaran en huelga exigiendo una ""reconsideración equitativa"" de los contratos de alquiler de tierras.";Huellas del trabajo;Correa, nuestro pueblo;93, 94;
1912;Salto Grande;"Creación de la filial de la Federación Agraria Argentina:
Hito: Organización gremial de los chacareros locales para defender sus intereses productivos.
Cita: ""Uno de los saldos perdurables del Grito de Alcorta fue la creación de la Federación Agraria Argentina... se había integrado la Comisión Directiva de la filial Salto Grande de la Federación Agraria.""";Huellas del trabajo;Centenario de Salto Grande;44;
1912;Totoras;"Fundación del Club Atlético Belgrano:
Hito: Nacimiento de una de las instituciones deportivas pioneras que luego se fusionaría para formar el Unión F.C.
Cita: ""El Club Atlético Belgrano fue fundado el 16 de junio de 1912 y fueron sus más entusiastas propulsores y sostenedores Osvaldo Martini y Ramón Ibarra...""
";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);178;
1912;Totoras;"Repercusiones del ""Grito de Alcorta"": El movimiento de protesta rural llegó a Totoras con una asamblea masiva de colonos arrendatarios. Cita: ""Con asistencia de más de 300 colonos y algún dueño de campo, se realizó ayer en ésta (en Totoras) una asamblea con motivo de solicitar rebajas en los contratos de arrendamientos...""";Huellas del trabajo;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);99, 101;
1912;Bustinza;"Llegada del Teléfono: Hito: Instalación del servicio telefónico y su posterior administración familiar.
Cita: ""La casa de la 'Telefónica'... el teléfono al pueblo, en 1912, su atención pasa a manos de don Merardo y ya nunca salió de la familia... ha conseguido, un tablero de teléfonos que durante muchísimos años funcionó en esta casa y que ya había sido retirado y archivado.""";Huellas del transporte y las comunicaciones;Bustinza y su historia;28;
1912;Bustinza;Fundación del Club Atlético General Lavalle: Hito: Segunda institución deportiva de importancia en los orígenes del pueblo.;Huellas de la infraestructura y las  instituciones;Bustinza y su historia;29;
1912;Bustinza;"Avance en servicios: La Telefonía: Hito: Introducción de un nuevo sector laboral vinculado a las comunicaciones y la administración de redes. Cita: ""...el teléfono al pueblo, en 1912, su atención pasa a manos de don Merardo y ya nunca salió de la familia... ha conseguido, un tablero de teléfonos que durante muchísimos años funcionó en esta casa..."".
";Huellas del transporte y las comunicaciones;Bustinza y su historia;28;
1913;Cañada de Gómez;"Primer gran accidente industrial.
Cita: ""...el primer gran accidente industrial de la historia de Cañada, que se registró el 29 de setiembre de 1913 en la Curtiembre Beltrame, donde la explosión de su caldera... produjo la muerte de seis obreros...""";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;41;
1913;Correa;"Primera Carrera Automovilística:
Hito: Paso por el pueblo del ""Gran Premio"" de automovilismo y motociclismo.";Huellas de la identidad y la celebración;Correa, nuestro pueblo;106;
1913;Totoras;"nauguración de la sede de la Sociedad Italiana:
Hito: Construcción de un edificio clave para la vida social y cultural de la colectividad.
Cita: ""Inauguración nueva sede social de la Sociedad Italiana. Año 1913.""";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);212, 213;
1913;Totoras;"Primeras Elecciones Democráticas:
Hito: Evento histórico donde la población pudo elegir por primera vez a sus representantes comunales.
Cita: ""Esas primeras elecciones se realizan al final del período que analizamos, un 25 de diciembre de 1913... la Liga del Sur se impuso a la unión de los otros partidos...""";Huellas de la infraestructura y las  instituciones;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);;
1914;Salto Grande;"""Otro establecimiento particular era el Colegio San Martín, de Corina A. de Alemano que funcionaba en el pueblo desde 1914.""";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;91;
1914;Salto Grande;"Fundación de la Sociedad Italiana:
Hito: Creación de la entidad de socorros mutuos.";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;77;
1914;Salto Grande;"Fundación del Club Atlético Provincial (C.A.P.):
Hito: Nacimiento de la principal institución deportiva local.";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;80;
1915;Cañada de Gómez;Primer Automóvil: Aparece en el pueblo el primer auto, apodado «El colibrí», seguido luego por el ómnibus de Alberdi;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;48-49;
1915;Cañada de Gómez;"Comienzo de funcionamiento de una escuela dirigida por Clara Carignano de Martínez Pombo.
Cita: ""...el 13 de abril de 1915 comenzó a funcionar una humilde escuela cuya directora, Clara Carignano de Martínez Pombo... fue una de las figuras señeras de la escuela pública cañadense""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;111;
